epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
                     18,                 1.0234,                0.47247,                0.86004,                 0.9441,                0.89795,                0.93871,                0.62951,                0.76357,                0.40378,                0.62706,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.0047,                0.46711,                0.85714,                0.95678,                0.89286,                0.93635,                0.62283,                0.74937,                 0.5062,                0.62917,             0.00071504,             0.00071504,             0.00071504
                     20,                0.98926,                 0.4595,                0.85587,                0.94932,                0.89484,                0.94264,                0.62991,                0.75049,                0.37235,                0.62901,             0.00069304,             0.00069304,             0.00069304
                     21,                 0.9743,                0.45282,                0.85364,                 0.9467,                0.90389,                0.94173,                0.62871,                0.72106,                 0.4651,                0.62626,             0.00067104,             0.00067104,             0.00067104
                     22,                0.96105,                0.44465,                0.85141,                 0.9646,                0.89015,                0.94362,                0.63426,                0.73488,                0.45756,                0.62846,             0.00064905,             0.00064905,             0.00064905
                     23,                 0.9383,                0.43102,                0.84543,                0.94601,                0.90099,                0.94164,                0.64353,                0.73459,                0.44747,                0.62579,             0.00062705,             0.00062705,             0.00062705
                     24,                0.93531,                0.43552,                0.84662,                0.94513,                0.91224,                0.94881,                0.64341,                0.73507,                0.36629,                0.62802,             0.00060505,             0.00060505,             0.00060505
                     25,                0.91553,                0.42291,                0.84479,                0.94748,                0.91567,                0.95255,                0.64821,                0.73104,                 0.3476,                0.62527,             0.00058305,             0.00058305,             0.00058305
                     26,                0.90782,                0.42072,                0.84082,                0.93422,                0.91276,                0.95098,                0.64787,                0.71742,                0.34931,                0.62591,             0.00056105,             0.00056105,             0.00056105
                     27,                0.89266,                0.41306,                0.83802,                0.93363,                0.91725,                0.95265,                 0.6496,                0.72251,                0.35005,                0.62674,             0.00053906,             0.00053906,             0.00053906
                     28,                0.87134,                0.40519,                0.83649,                0.94029,                0.90638,                0.94687,                0.64203,                0.72798,                0.34795,                0.62667,             0.00051706,             0.00051706,             0.00051706
                     29,                0.86725,                0.40233,                0.83391,                0.94433,                0.91771,                0.94733,                 0.6367,                0.71971,                0.34309,                0.62826,             0.00049506,             0.00049506,             0.00049506
                     30,                0.85386,                0.39492,                0.83334,                0.94257,                0.92113,                  0.949,                0.64567,                0.71003,                0.44494,                0.62524,             0.00047306,             0.00047306,             0.00047306
                     31,                0.83382,                0.38761,                0.83072,                0.93768,                0.91179,                0.95141,                0.65247,                0.72262,                0.33943,                0.62525,             0.00045107,             0.00045107,             0.00045107
                     32,                0.82704,                0.38547,                0.82876,                 0.9545,                 0.9065,                 0.9464,                 0.6436,                0.71732,                0.34737,                0.62688,             0.00042907,             0.00042907,             0.00042907
                     33,                0.81037,                0.37849,                0.82756,                0.93038,                0.92074,                0.94895,                0.65313,                0.71657,                0.34091,                0.62465,             0.00040707,             0.00040707,             0.00040707
                     34,                0.79376,                0.37226,                0.82482,                 0.9385,                0.91951,                 0.9485,                 0.6491,                0.72381,                0.35667,                0.62775,             0.00038507,             0.00038507,             0.00038507
                     35,                0.79063,                0.36797,                0.82368,                0.93596,                0.91921,                0.94793,                0.64777,                0.72561,                0.34618,                0.62627,             0.00036307,             0.00036307,             0.00036307
                     36,                0.77001,                0.36217,                0.82014,                0.94142,                0.92151,                0.95215,                0.64617,                0.71623,                0.32955,                0.62348,             0.00034108,             0.00034108,             0.00034108
                     37,                0.76414,                0.35834,                0.82124,                0.95364,                0.90643,                0.94974,                0.65324,                0.71311,                0.33494,                0.62475,             0.00031908,             0.00031908,             0.00031908
                     38,                0.75694,                0.35452,                0.81851,                0.94525,                0.90842,                0.95276,                0.64742,                0.72837,                0.33664,                0.62661,             0.00029708,             0.00029708,             0.00029708
                     39,                0.73793,                  0.346,                0.81754,                0.94896,                0.89297,                0.94812,                0.64711,                0.71895,                0.35511,                 0.6281,             0.00027508,             0.00027508,             0.00027508
                     40,                0.72124,                0.34014,                0.81606,                 0.9474,                0.89905,                0.94721,                0.65075,                0.72123,                0.43348,                0.62752,             0.00025309,             0.00025309,             0.00025309
                     41,                 0.6982,                0.32588,                0.81665,                0.93578,                0.90413,                0.94606,                0.64706,                0.73088,                0.38029,                0.62919,             0.00023109,             0.00023109,             0.00023109
                     42,                0.67144,                0.31719,                0.81025,                0.93709,                0.92366,                0.95387,                0.65502,                0.72552,                0.34864,                0.62738,             0.00020909,             0.00020909,             0.00020909
                     43,                0.66224,                0.31259,                 0.8082,                 0.9392,                0.91083,                0.94803,                0.64882,                0.71551,                0.34142,                0.62857,             0.00018709,             0.00018709,             0.00018709
                     44,                0.64577,                0.30623,                0.80571,                0.93842,                0.91551,                0.94918,                0.65268,                0.71559,                0.33989,                0.62707,             0.00016509,             0.00016509,             0.00016509
                     45,                0.63316,                0.30212,                0.80377,                0.94827,                0.89841,                 0.9458,                0.64838,                0.72482,                0.33609,                   0.63,              0.0001431,              0.0001431,              0.0001431
                     46,                0.61542,                0.29544,                0.80101,                0.95407,                0.88587,                0.94659,                0.65635,                0.72383,                0.33974,                0.62999,              0.0001211,              0.0001211,              0.0001211
                     47,                0.60502,                0.29153,                0.79851,                0.93605,                0.91146,                0.94635,                0.65058,                0.72601,                0.35085,                 0.6309,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.59468,                0.28729,                0.79731,                0.95483,                0.90119,                0.94882,                0.65191,                0.72579,                 0.3469,                 0.6336,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.57862,                0.28148,                0.79878,                0.94957,                 0.9063,                0.94638,                0.64969,                0.72721,                0.34973,                0.63187,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.57796,                0.28039,                0.79768,                0.95054,                0.89978,                0.94554,                 0.6506,                0.71965,                0.35622,                0.63098,             3.3108e-05,             3.3108e-05,             3.3108e-05
